시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
강원,강원 삼척시,총인구,41453,41697,41821,90005,87303,86016,85846,84523,82177,79770,77434,75759,74301,73134,71750,70791,70954,71935,72046,72312,72463,73023,72314,70839,69599,68514,68326,67228,65243,63429
강원,강원 삼척시,노인인구비율,6.36,6.54,6.76,8.40,8.91,9.40,9.74,10.36,11.15,11.89,12.67,13.38,14.18,15.00,15.71,16.63,17.09,17.38,17.91,18.1,18.57,19.06,19.7,20.51,20.99,22.03,22.66,23.81,25.4,26.62
강원,강원 홍천군,총인구,79408,78047,76891,75924,75493,75105,75251,74939,74461,74019,72514,71351,71907,70811,70037,70142,70360,69606,69893,69899,69727,70638,70451,70336,70076,70340,69949,69150,69242,68365
강원,강원 홍천군,노인인구비율,8.71,9.00,9.31,9.77,10.02,10.33,10.74,11.27,11.93,12.76,13.71,14.51,15.07,15.91,16.67,17.29,17.79,18.43,18.87,19.35,19.87,20.04,20.44,20.96,21.31,22.6,23.45,24.83,26.19,27.92
강원,강원 횡성군,총인구,51447,50343,49350,48773,48112,47081,47362,46822,45961,45496,45198,44306,44297,43678,42982,43176,43413,44121,44254,44360,44615,44937,45373,45777,45991,46281,46726,46575,46472,46481
강원,강원 횡성군,노인인구비율,10.31,10.67,11.04,11.65,12.00,12.31,12.58,13.21,13.86,14.84,15.71,16.68,17.48,18.51,19.56,20.37,20.8,21.1,21.72,22.23,23.03,23.66,23.88,24.24,24.62,25.98,26.63,27.89,29.48,31.09
강원,강원 영월군,총인구,58781,56473,54886,53398,51787,50498,50287,49746,48393,52101,45273,44027,42406,41538,40511,40290,40201,40265,40407,40199,40155,40150,40191,40216,40073,40067,39730,39127,38662,37904
강원,강원 영월군,노인인구비율,8.62,8.80,9.43,9.97,10.52,11.01,11.44,12.14,12.96,12.96,14.82,15.89,17.14,18.19,19.15,20.12,20.73,21.23,21.64,22.11,22.71,23.39,23.89,24.32,24.74,25.89,26.85,28.17,29.74,30.96
강원,강원 평창군,총인구,53352,51716,50535,49781,49361,48811,48746,48003,47125,46478,46262,46375,45311,45033,44332,44003,43706,43634,43622,43577,43627,43666,43660,43500,43318,43092,42610,42106,41681,40996
강원,강원 평창군,노인인구비율,8.66,8.99,9.29,9.72,9.95,10.27,10.64,11.02,11.59,12.51,13.24,13.95,15.07,15.97,16.91,17.62,18.21,18.72,19.42,19.93,20.61,21.34,21.83,22.29,22.71,24.13,25.05,26.6,28.38,29.99
강원,강원 정선군,총인구,80121,72890,66160,61115,57350,54668,53849,51734,50572,49048,51226,46225,45419,44203,43186,41806,41269,40708,41045,40181,39915,39985,39425,39197,38718,38173,37700,37271,36870,35675
강원,강원 정선군,노인인구비율,5.79,6.38,7.06,7.87,8.36,9.08,9.53,10.18,10.68,11.29,11.60,12.81,13.62,14.66,15.53,16.83,17.61,18.31,19.25,19.86,20.51,21.27,22.09,22.63,23.27,24.44,25.22,26.39,27.98,29.22
강원,강원 철원군,총인구,55192,54720,54268,54281,54295,54194,54500,53946,53190,52072,50532,50212,49650,48933,48024,47420,47724,47669,48928,48084,47968,47473,47590,48799,48013,47185,46413,45584,44699,43340
강원,강원 철원군,노인인구비율,7.66,8.06,8.35,8.52,8.63,8.75,8.89,9.08,9.55,10.08,10.80,11.33,12.00,12.85,13.68,14.70,15.3,15.94,16.28,16.93,17.68,18.35,18.7,18.57,18.98,19.63,20.39,21.56,22.75,23.81
강원,강원 화천군,총인구,26748,26629,26318,26321,26010,25627,25916,25544,25188,24965,24088,24540,24267,23732,23317,22944,24110,24216,24364,24945,25020,25079,27143,27020,26264,26022,25084,24917,24857,24195
강원,강원 화천군,노인인구비율,8.79,9.00,9.23,9.29,9.59,9.88,10.19,10.67,11.09,11.90,12.87,13.28,14.11,15.06,16.15,17.30,17.1,17.5,18.08,18.08,18.4,18.61,17.65,17.84,18.3,19.01,20.19,21.35,22.57,23.67
강원,강원 양구군,총인구,25270,24802,24560,24233,24047,23778,24027,23756,23420,23198,22527,21995,21692,21480,21269,21401,21303,21323,21843,22285,22799,23594,23888,24089,24010,23835,23408,22764,22278,21748
강원,강원 양구군,노인인구비율,8.03,8.37,8.74,9.05,9.41,9.59,9.81,10.12,10.70,11.41,12.15,12.96,13.61,14.38,15.15,15.96,16.5,17.19,17.2,17.06,17.05,16.99,16.96,16.95,17.11,17.87,18.47,19.74,21.11,22.5
강원,강원 인제군,총인구,35686,35251,35306,35079,34670,34187,34288,34090,33618,33092,32447,32092,32443,32811,32493,32079,31620,31452,31842,31970,32456,32517,32475,33255,32720,32582,32136,31672,31694,32165
강원,강원 인제군,노인인구비율,8.06,8.40,8.52,8.73,8.90,9.12,9.26,9.56,9.93,10.71,11.43,12.20,12.72,13.13,13.94,14.76,15.37,15.88,16.04,16.3,16.63,16.83,17.05,16.76,17.12,17.98,18.71,19.56,20.6,21.45
강원,강원 고성군,총인구,41592,40482,39454,39005,38142,37384,37319,36369,35391,34643,33721,32739,32361,31964,31285,30383,30172,30272,30112,30057,30124,30398,30269,30060,30114,30029,28144,27260,26757,27249
강원,강원 고성군,노인인구비율,8.94,9.46,9.81,10.13,10.47,10.73,10.97,11.38,11.93,12.70,13.66,14.69,15.61,16.34,17.39,18.74,19.47,20.04,20.74,21.45,21.91,22.24,22.76,23.27,23.75,24.31,26.35,28.1,29.69,30.22
강원,강원 양양군,총인구,32292,31913,31300,31063,30906,30919,31103,30941,30141,30180,30076,29480,29187,29132,28661,28472,28115,27957,27929,27942,27802,27659,27521,27479,27218,27207,27347,27726,27946,27913
강원,강원 양양군,노인인구비율,9.60,9.83,10.04,10.42,10.75,11.02,11.22,11.58,12.60,13.17,13.90,14.81,15.58,16.61,17.54,18.65,19.7,20.5,21.27,21.99,22.97,23.81,24.58,25.19,25.65,26.88,27.63,28.66,29.75,31.06
충북,충북 청주시,총인구,471118,489033,504221,519072,530836,544115,557405,569072,580861,592504,603941,615155,624288,630939,626679,633286,638663,643161,655971,661946,666852,672904,831521,831912,835197,835590,837749,839566,844993,848482
충북,충북 청주시,노인인구비율,4.42,4.43,4.50,4.56,4.61,4.70,4.83,5.05,5.27,5.52,5.74,5.97,6.25,6.48,6.89,7.33,7.57,7.81,8.03,8.27,8.62,8.99,10.35,10.66,10.96,11.55,12.04,12.67,13.41,14.13
충북,충북 중원군,총인구,68538,67749,65874,,,,,,,,,,,,,,,,,,,,,,,,,,,
충북,충북 중원군,노인인구비율,10.34,10.75,11.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
충북,충북 충주시,총인구,138300,140977,144796,212872,215151,217638,218846,218763,217305,215249,211980,209138,207534,205907,204610,205064,206372,206613,208481,208433,208447,208115,208527,207913,208350,208316,210504,210737,210186,209358
충북,충북 충주시,노인인구비율,5.24,5.35,5.46,7.49,7.65,7.87,8.21,8.64,9.13,9.65,10.18,10.78,11.44,11.99,12.63,13.33,13.7,14.13,14.37,14.71,15.21,15.63,15.97,16.33,16.7,17.62,18.12,18.89,19.91,20.92
충북 ,충북 제천군,총인구,36969,36083,35158,,,,,,,,,,,,,,,,,,,,,,,,,,,
충북 ,충북 제천군,노인인구비율,10.98,11.34,11.97,,,,,,,,,,,,,,,,,,,,,,,,,,,
충북,충북 제천시,총인구,107522,109195,110080,146087,147090,147901,147942,148155,147950,144968,143231,140676,138872,138201,136398,136218,135738,135580,137264,137689,137521,137204,136805,136138,136517,136432,135386,134617,133018,131591
충북,충북 제천시,노인인구비율,5.12,5.27,5.42,7.24,7.35,7.60,7.94,8.34,8.85,9.41,9.95,10.63,11.39,11.98,12.66,13.49,14.04,14.5,14.85,15.14,15.78,16.33,16.85,17.33,17.68,18.83,19.66,20.64,21.99,23.28
충북,충북 청원군,총인구,120070,119549,117871,117560,119843,121794,123385,122922,123984,124181,122782,121235,119745,119784,136538,143021,148063,149783,152944,158369,154780,155002,,,,,,,,
충북,충북 청원군,노인인구비율,9.06,9.43,9.87,10.23,10.43,10.72,11.09,11.54,12.10,12.62,13.22,13.86,14.60,15.08,13.99,14.17,14.25,14.36,14.44,14.33,14.24,14.53,,,,,,,,
충북,충북 보은군,총인구,53513,51814,49891,48460,47242,45980,45554,44562,43245,42082,40420,38973,38062,37114,36293,35354,35069,34845,34956,34717,34438,34318,34240,34296,34221,34053,33680,32949,32412,31878
충북,충북 보은군,노인인구비율,11.19,11.93,12.69,13.35,13.85,14.70,15.47,16.14,17.36,18.50,19.80,20.89,22.26,23.21,24.19,25.66,26.49,27.12,27.22,27.72,28.36,28.71,29.26,29.52,29.77,30.72,31.62,33.11,34.61,36.09
충북,충북 옥천군,총인구,69031,67312,65519,64694,63703,63075,62708,61845,60798,59515,58461,57505,56634,55610,54923,54608,54475,54117,54025,53496,53244,52763,52469,52404,52267,51766,51465,51023,50527,50093
충북,충북 옥천군,노인인구비율,9.69,10.25,10.72,11.12,11.53,12.05,12.68,13.40,14.39,15.34,16.14,16.84,17.69,18.17,18.94,20.09,20.59,21.11,21.48,21.9,22.44,23.18,23.92,24.68,25.36,26.5,27.44,28.53,29.85,31.1
충북,충북 영동군,총인구,66613,65388,64073,62966,62052,61205,60890,60094,58627,57184,55752,54036,52597,51800,50819,50131,50276,50426,50523,50621,50663,50539,50803,50693,50552,50240,49715,48738,47475,45773
충북,충북 영동군,노인인구비율,10.55,11.26,11.77,12.22,12.72,13.27,13.83,14.41,15.27,16.37,17.32,18.44,19.70,20.40,21.42,22.96,23.5,24.1,24.63,24.9,25.27,25.83,26.3,26.87,27.2,28.09,28.91,29.96,31.77,33.41
충북,충북 증평군,총인구,,,,,,,,,,,,31310,30899,30607,30483,31145,32179,33164,33533,34009,34279,34546,34771,36671,37308,37783,37317,37392,36807,36426
충북,충북 증평군,노인인구비율,,,,,,,,,,,,10.27,10.93,11.39,11.83,12.32,12.56,12.73,13.13,13.3,13.61,13.98,14.24,14.04,14.27,14.89,15.67,16.43,17.43,18.62
충북,충북 진천군,총인구,55902,56290,56300,56810,57975,59031,59177,58979,60121,60309,59699,59724,60347,60155,60111,60154,60715,61456,62094,63051,63458,64606,65174,67981,69950,73677,78218,81084,83718,85176
충북,충북 진천군,노인인구비율,8.75,9.08,9.39,9.56,9.56,9.73,10.25,10.64,11.09,11.58,12.30,12.72,13.18,13.60,14.14,14.76,15.07,15.17,15.44,15.5,15.73,15.94,16.34,16.16,16.16,16.14,15.85,16.04,16.44,16.94
충북,충북 괴산군,총인구,55028,53137,51042,49606,48219,47068,46272,45468,44380,43126,41827,40411,39586,38595,37570,36873,36566,36775,36827,37333,37713,38059,38351,38787,38973,39054,39133,39163,39393,38122
충북,충북 괴산군,노인인구비율,11.34,12.01,12.72,13.35,14.00,14.73,15.56,16.40,17.59,18.80,20.14,21.41,22.68,24.07,25.27,26.60,27.26,27.69,28.01,27.91,28.16,28.48,29.13,29.53,29.74,30.47,30.93,31.99,33.4,35.58
충북,충북 음성군,총인구,80009,81298,81578,83682,85345,87104,87023,87747,87956,87289,86562,85771,85638,85969,86789,88355,89542,89716,91093,91644,92980,93505,95324,96396,97787,97306,95830,94982,93153,92197
충북,충북 음성군,노인인구비율,8.92,9.17,9.57,9.67,9.77,10.06,10.48,10.84,11.33,11.90,12.42,12.93,13.54,13.98,14.44,14.89,15.18,15.47,15.87,16.11,16.39,16.7,16.87,17.13,17.29,18.17,19.1,20.07,21.45,22.54
충북,충북 단양군,총인구,49081,47598,46060,44327,43593,42738,42302,41137,40000,38721,37320,35701,34743,34122,33346,32399,31929,31842,31817,31595,31253,31171,30948,30761,30503,30215,30255,29756,29155,28331
충북,충북 단양군,노인인구비율,8.29,8.78,9.32,9.89,10.28,10.62,11.23,11.90,12.75,13.68,14.75,15.94,17.14,18.16,19.05,20.32,21.06,21.64,22.11,22.52,23.27,24.04,24.91,25.45,25.89,27.03,27.68,29.05,30.96,32.78
충남,충남 천안군,총인구,98722,102628,104810,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 천안군,노인인구비율,8.41,8.56,8.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 천안시,총인구,195368,203091,212242,333630,350473,370928,383990,403017,421418,432534,441243,456501,503082,512482,523323,531956,537698,540832,557673,571377,581988,591089,598346,605776,617955,631531,646075,652258,658808,658486
충남,충남 천안시,노인인구비율,4.28,4.36,4.37,5.76,5.77,5.81,5.94,6.05,6.19,6.38,6.58,6.71,6.69,6.83,7.04,7.37,7.61,7.86,7.95,8.06,8.27,8.54,8.79,9.05,9.22,9.59,9.83,10.3,10.95,11.56
충남,충남 공주군,총인구,86573,83530,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 공주군,노인인구비율,10.70,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 공주시,총인구,57059,57858,139101,138069,137705,136617,136988,136819,135589,133978,132584,130957,130280,129489,128330,126612,125143,124172,124930,124748,117298,116369,113621,111261,109931,108432,107581,106474,104545,103145
충남,충남 공주시,노인인구비율,5.92,6.04,2.60,10.08,10.55,11.00,11.41,11.90,12.50,13.10,13.65,14.18,14.85,15.33,15.90,16.88,17.32,17.88,18.05,18.26,18.67,19.31,20.32,21.37,22.03,23.06,23.75,24.84,26.47,27.61
충남,충남 대천시,총인구,54715,54894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 대천시,노인인구비율,5.05,5.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 보령군,총인구,76261,72961,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 보령군,노인인구비율,9.33,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 보령시,총인구,,,124775,122895,121961,121765,122191,120721,118504,116306,113365,110380,108861,108056,107591,107637,106885,106754,107346,106421,105559,104938,104321,104754,103873,103198,101990,101114,100229,98408
충남,충남 보령시,노인인구비율,,,8.50,8.94,9.34,9.83,10.22,10.82,11.54,12.31,13.04,13.93,14.69,15.21,15.84,16.64,17.22,17.66,18.03,18.56,19.38,20.14,20.91,21.44,22.11,22.89,23.65,24.71,26.15,27.29
충남,충남 온양시,총인구,61656,65299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 온양시,노인인구비율,5.74,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 아산군,총인구,89817,88338,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 아산군,노인인구비율,9.47,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 아산시,총인구,,,154775,158214,166503,175658,179199,180618,184191,186469,191123,193122,200938,204431,211560,221490,240942,256449,265191,274523,280490,287073,293954,297737,302929,311453,312822,314395,316129,324580
충남,충남 아산시,노인인구비율,,,8.43,8.50,8.45,8.53,8.84,9.12,9.41,9.78,10.11,10.53,10.64,10.79,10.87,11.02,10.65,10.43,10.47,10.52,10.72,10.93,11.08,11.37,11.58,11.87,12.21,12.74,13.4,13.74
충남,충남 서산군,총인구,86420,84510,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 서산군,노인인구비율,8.47,9.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충남,충남 서산시,총인구,55181,56195,140253,142222,145968,149585,150618,150763,150028,150116,148150,151818,150131,150294,150889,153569,156867,158886,160468,161489,163315,165837,167611,170099,170788,171678,174162,174690,175591,176645
충남,충남 서산시,노인인구비율,5.24,5.36,7.86,8.02,8.11,8.45,8.91,9.47,10.11,10.76,11.40,11.81,12.37,12.63,13.10,13.68,13.88,14.11,14.24,14.5,14.81,15.14,15.62,15.96,16.41,16.9,17.16,17.8,18.47,19.15
충남,충남 논산시,총인구,157112,153237,149968,150012,148712,147265,146629,144488,142390,140287,137419,135719,135572,134217,131466,129486,127797,127097,127507,127533,126653,125844,124784,124232,123213,122240,120230,118842,116675,114483
충남,충남 논산시,노인인구비율,9.05,9.67,10.10,10.41,10.77,11.29,11.81,12.38,13.08,13.76,14.43,15.04,15.58,16.07,16.96,17.98,18.69,19.17,19.51,19.65,20.31,20.95,21.63,22.22,22.77,23.42,24.25,25.33,26.65,27.76
충남,충남 계룡시,총인구,,,,,,,,,,,,31058,31174,34370,36846,37775,41411,42760,43088,42942,41550,40957,40552,41730,42634,43967,43731,42971,42822,43331
충남,충남 계룡시,노인인구비율,,,,,,,,,,,,6.10,6.34,6.22,6.49,6.72,6.69,6.82,7.09,7.34,7.71,8.04,8.5,8.61,9.02,9.5,10.17,11.09,12.01,12.71
충남,충남 금산군,총인구,75986,72704,69726,70831,72114,70125,67760,65287,64515,62985,61350,60740,60048,58378,57552,57690,56740,56220,56555,56030,55715,55441,55166,54879,54612,53894,53222,52257,51413,50477
충남,충남 금산군,노인인구비율,9.34,9.98,10.62,11.14,11.28,12.09,13.09,14.05,14.95,15.95,16.89,17.76,18.70,19.60,20.47,21.50,22.28,22.69,22.87,23.27,23.97,24.66,25.41,26.11,26.75,27.8,28.52,29.88,31.27,32.7
충남,충남 연기군,총인구,85688,83687,82278,80748,80895,80274,80601,80947,80471,81328,82323,82733,84455,84308,82747,79977,78645,79482,81871,82890,,,,,,,,,,
충남,충남 연기군,노인인구비율,8.92,9.36,9.76,10.27,10.52,10.92,11.31,11.74,12.31,12.69,13.03,13.44,13.93,14.41,15.10,15.87,16.26,16.32,16.34,16.43,,,,,,,,,,
충남,충남 부여군,총인구,112754,109688,106235,103516,100746,98138,97065,95044,92667,90373,88014,85275,83260,81430,79595,77916,76687,75564,75029,74004,73259,72547,71754,71143,70187,69086,68078,66740,65354,63774
충남,충남 부여군,노인인구비율,9.93,10.74,11.35,11.97,12.70,13.61,14.29,15.07,16.10,17.18,18.16,19.17,20.15,20.92,21.96,23.27,23.96,24.61,25.14,25.59,26.23,26.92,27.98,28.86,29.6,30.7,31.59,33.04,34.71,36.38
충남,충남 서천군,총인구,92307,89702,87151,85184,82932,80973,80078,77953,75259,72787,70116,67414,65650,64322,62629,61168,60507,60066,60085,59541,58920,58441,57713,56910,56012,55175,53922,52805,51866,50745
충남,충남 서천군,노인인구비율,10.22,10.96,11.70,12.37,13.14,14.14,14.96,15.70,16.79,17.91,19.01,20.16,21.32,22.06,22.97,24.45,25.27,25.95,26.36,26.89,27.99,28.94,29.79,30.67,31.39,32.5,33.47,34.88,36.61,38.06
충남,충남 청양군,총인구,50752,48998,47240,45714,44544,43404,42920,42109,41025,40029,38588,36992,35626,34921,34086,33604,33062,32613,32541,32291,32087,32155,32248,32485,32753,32837,32296,31717,30948,30440
충남,충남 청양군,노인인구비율,10.72,11.49,12.28,13.16,14.01,14.94,15.72,16.80,17.93,19.22,20.62,22.07,23.38,24.28,25.48,26.77,27.35,28.11,28.4,28.97,29.55,30.18,30.94,31.33,31.54,31.85,32.56,33.93,35.73,37.1
충남,충남 홍성군,총인구,106339,104609,102737,101458,99649,99077,98920,97288,95369,93558,91377,94658,91223,90931,89555,88685,88176,87631,88078,88108,88415,89704,91866,94553,99971,101570,101082,100423,100102,99324
충남,충남 홍성군,노인인구비율,8.80,9.23,9.74,10.22,10.75,11.41,11.96,12.83,13.81,14.77,15.65,16.05,17.06,17.47,18.24,19.18,19.67,20.23,20.44,20.79,21.19,21.52,21.78,21.81,21.32,21.56,22.12,22.89,23.98,24.77
충남,충남 예산군,총인구,116732,114566,112050,109962,108029,106248,105346,103763,101432,100289,97786,95029,91832,90740,89585,88670,88144,87163,87002,86421,85876,85205,84919,83484,81339,80338,80083,79238,78084,76801
충남,충남 예산군,노인인구비율,8.93,9.41,9.93,10.46,11.01,11.64,12.36,13.10,14.06,15.02,16.01,17.07,18.04,18.62,19.36,20.51,21.07,21.68,22,22.42,23.25,24.04,24.77,25.88,27.05,28.13,28.8,29.92,31.54,32.89
충남,충남 태안군,총인구,77909,76050,73991,72168,70466,70043,70056,69162,68746,67878,66062,63930,63764,63794,63754,63042,63401,63095,63247,62747,62548,62416,62574,63484,63900,63932,63238,62743,62214,61526
충남,충남 태안군,노인인구비율,7.89,8.42,8.88,9.32,9.97,10.79,11.48,12.19,12.93,13.90,14.77,15.80,16.75,17.20,17.97,19.34,20.16,21,21.56,22.31,23.27,24.39,25.24,25.76,26.4,27.38,28.41,29.59,31.11,32.73
충남,충남 당진시,총인구,122602,121465,120838,122093,124573,125153,125360,124584,122495,120445,118395,116477,117510,120483,124925,136254,136432,138798,144903,150219,155104,159615,162844,165122,166630,167439,167770,167042,166249,167092
충남,충남 당진시,노인인구비율,8.71,9.17,9.55,9.68,9.81,10.21,10.70,11.35,12.22,13.10,13.92,14.80,15.40,15.53,15.72,15.63,15.96,16.03,15.68,15.53,15.68,15.75,15.95,16.26,16.47,16.95,17.28,17.92,18.85,19.46
전북,전북 전주시,총인구,538807,549152,558121,569804,582136,588885,599196,610566,620521,622283,624485,618819,622472,621749,624849,623926,631532,635007,641525,645894,648863,650082,652877,652282,651744,648964,651091,654394,657432,657269
전북,전북 전주시,노인인구비율,4.95,5.07,5.20,5.28,5.35,5.52,5.68,5.96,6.19,6.48,6.78,7.13,7.49,7.82,8.20,8.83,9.08,9.33,9.6,9.99,10.55,11.03,11.52,12.1,12.51,13.12,13.6,14.24,14.99,15.67
전북,전북 옥구군,총인구,69318,66810,65075,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 옥구군,노인인구비율,9.59,10.37,10.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 군산시,총인구,199943,204505,207696,275819,278069,280648,280666,279644,277491,276717,272007,268639,265168,263120,260989,260562,263845,266922,272601,275659,278341,278319,278098,278398,277551,274997,272645,270131,267859,265304
전북,전북 군산시,노인인구비율,4.89,4.99,5.15,6.69,6.89,7.15,7.49,7.70,8.08,8.47,8.93,9.41,9.92,10.33,10.91,11.64,11.91,12.11,12.31,12.67,13.21,13.68,14.22,14.84,15.42,16.21,16.84,17.79,18.93,19.87
전북,전북 이리시,총인구,,216655,222381,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 이리시,노인인구비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 익산군,총인구,106891,103810,101215,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 익산군,노인인구비율,9.69,10.34,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 익산시,총인구,209459,320465,323596,328152,328162,330310,333788,335277,334324,334757,330101,325238,322378,318506,315094,313590,309269,306669,307289,309804,306469,306539,304117,302061,300479,300187,294062,287771,282276,278113
전북,전북 익산시,노인인구비율,4.80,3.34,3.47,7.07,7.33,7.62,7.92,8.20,8.56,8.89,9.31,9.76,10.21,10.55,11.00,11.74,12.13,12.51,12.78,13.08,13.78,14.27,14.88,15.57,16.15,16.78,17.53,18.6,19.9,20.89
전북,전북 정주시,총인구,,71926,72135,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정주시,노인인구비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정읍군,총인구,87493,83994,80311,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정읍군,노인인구비율,11.72,12.69,13.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 정읍시,총인구,72343,71926,72135,151039,150224,150343,150505,151134,152022,151813,139133,155319,132285,129050,126249,124239,122842,121545,122000,120466,119392,118328,117183,115977,115173,113776,112169,110541,108508,106487
전북,전북 정읍시,노인인구비율,6.63,6.76,6.98,10.89,11.23,11.64,12.24,12.71,13.23,13.75,15.13,14.19,16.78,17.40,18.11,19.31,19.74,20.24,20.57,21.12,21.9,22.55,23.32,24.09,24.51,25.13,25.68,26.68,27.89,28.7
전북,전북 남원군,총인구,60288,57687,55182,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 남원군,노인인구비율,12.44,13.52,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 남원시,총인구,54133,54848,55156,109185,108274,107180,106300,104544,103571,103977,100392,101950,96243,93670,91265,89247,88356,87675,87775,87455,87000,86460,85643,84856,84188,83281,82554,81441,80662,79431
전북,전북 남원시,노인인구비율,6.08,6.35,6.52,10.80,11.19,11.69,12.20,12.87,13.57,13.94,14.95,15.40,16.63,17.37,18.27,19.62,20.12,20.44,20.62,21.1,21.98,22.68,23.36,24.12,24.6,25.42,25.98,27.07,28.13,29.24
전북,전북 김제군,총인구,91944,88220,82788,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 김제군,노인인구비율,10.86,11.73,12.61,,,,,,,,,,,,,,,,,,,,,,,,,,,
전북,전북 김제시,총인구,46960,46999,47350,128415,125582,122761,121636,118563,115865,115244,110989,110710,105195,102720,100238,97615,95807,94770,94346,93111,92317,91218,90108,88721,87782,86926,85331,83895,82450,80913
전북,전북 김제시,노인인구비율,7.63,8.00,8.32,11.62,12.13,12.88,13.60,14.32,15.25,15.88,16.89,17.45,18.78,19.52,20.49,21.88,22.56,23.16,23.67,24.28,25.23,25.86,26.68,27.64,28.31,28.94,29.6,30.57,31.92,33.1
전북,전북 완주군,총인구,89426,87522,85917,86461,85354,86055,86138,85540,84009,86719,84626,83649,82482,83651,83199,82972,83757,83885,85119,84660,86164,86978,90377,95303,95480,95975,94444,92220,91609,91142
전북,전북 완주군,노인인구비율,9.35,9.93,10.42,10.62,10.98,11.33,11.69,12.24,13.13,13.29,14.11,14.91,15.65,15.82,16.37,17.57,17.82,18.03,18.11,18.56,18.91,19.3,19.29,19.23,19.7,20.19,20.94,22.16,23.37,24.35
전북,전북 진안군,총인구,46102,44158,42142,40086,38077,35973,34635,33645,31273,32635,30439,30475,30757,29021,27122,30250,27230,27558,27543,28473,26963,26703,26474,26203,26069,26271,25963,25697,25394,24987
전북,전북 진안군,노인인구비율,11.11,11.94,12.78,13.52,14.32,15.29,16.28,17.02,18.19,18.59,20.38,21.15,21.55,23.31,25.43,24.26,26.78,26.88,27.4,26.84,28.69,29.48,30.2,30.95,31.2,31.63,32.49,33.52,35.04,36.23
전북,전북 무주군,총인구,35219,33960,33097,32293,31511,30835,30580,31776,29207,30333,27894,26716,26183,25876,25417,26361,26017,25811,25578,25863,25321,25398,25390,25220,24949,24809,24589,24303,24036,23748
전북,전북 무주군,노인인구비율,10.60,11.44,12.09,12.87,13.51,14.47,15.17,15.46,17.30,17.53,19.58,21.11,22.22,23.15,24.46,25.03,25.57,26.06,26.68,26.88,27.84,28.26,28.53,29.5,30.17,31.04,31.38,32.47,33.6,34.33
전북,전북 장수군,총인구,35446,33714,32650,31485,30632,29770,30513,30159,30051,30445,26349,29445,26788,24755,24209,26687,23864,23478,23386,23215,23191,23243,23335,23277,23628,23003,23221,22441,22085,21695
전북,전북 장수군,노인인구비율,10.84,11.85,12.28,13.09,13.80,14.69,15.10,15.92,16.80,17.32,20.19,18.78,21.26,23.52,24.70,23.45,26.29,26.96,27.1,27.4,28,28.57,28.71,29.35,29.52,30.91,31,32.55,34.22,35.57
전북,전북 임실군,총인구,50234,47953,46055,44612,42984,41326,40519,39265,37514,37439,35071,34283,33008,32511,31976,31952,31133,30703,30593,30789,29956,29739,29966,30271,30197,30162,30072,28902,27314,26730
전북,전북 임실군,노인인구비율,11.47,12.36,13.01,13.70,14.64,15.54,16.28,17.17,18.62,19.55,21.41,22.69,24.38,25.06,26.18,27.33,28.11,28.51,28.94,29.04,30.39,31,31.21,31.48,31.63,32.06,32.49,34.01,36.44,37.8
전북,전북 순창군,총인구,44828,42824,40965,39728,38638,37553,36832,35793,34587,33892,32329,31482,31814,32012,32485,32035,30920,30179,30209,29497,30055,30272,30368,30248,29949,29698,29209,28382,27810,26855
