시도,시군구,구분,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
경기,경기 수원시,총인구,696322,713221,729017,746610,769876,798640,854084,910045,948065,974866,1019711,1032944,1033829,1045587,1068906,1067702,1067425,1073149,1077535,1088489,1120258,1148157,1174228,1184624,1194041,1202628,1201166,1194465,1186078,1183714
경기,경기 수원시,노인인구비율,3.55,3.61,3.70,3.75,3.85,3.93,3.98,4.10,4.27,4.46,4.63,4.87,5.15,5.41,5.73,6.19,6.46,6.68,6.95,7.22,7.52,7.77,8.05,8.42,8.71,9.29,9.76,10.35,11.12,11.75
경기,경기 성남시,총인구,645311,729959,800273,886663,914240,923226,921227,921204,924390,932780,940974,962048,977166,983075,964831,953960,942447,962726,980190,979323,978615,979534,974608,971424,974580,967510,954347,942724,940064,930948
경기,경기 성남시,노인인구비율,3.57,3.73,3.92,4.11,4.22,4.40,4.58,4.82,5.05,5.28,5.54,5.85,6.19,6.53,6.96,7.44,7.87,8.21,8.57,8.94,9.47,9.96,10.46,10.95,11.26,11.94,12.58,13.35,14.17,14.83
경기,경기 의정부시,총인구,237811,253876,269701,281184,290326,306585,327965,344780,361131,367171,378424,394803,397612,402410,410938,421853,430849,431008,431801,430400,429147,430976,431112,433937,438457,441584,447026,451868,461710,463661
경기,경기 의정부시,노인인구비율,4.04,4.13,4.29,4.39,4.54,4.75,4.90,5.10,5.35,5.71,6.07,6.45,6.90,7.33,7.77,8.38,8.8,9.23,9.72,10.2,10.77,11.3,11.8,12.28,12.63,13.25,13.74,14.44,15.24,15.86
경기,경기 안양시,총인구,539775,588376,594891,593142,599163,591522,586562,582584,581166,591670,595142,604505,621047,625350,624280,624197,620279,616547,621714,615642,611412,607877,600809,597789,597414,587764,576831,567044,550027,547178
경기,경기 안양시,노인인구비율,3.73,3.79,3.95,4.09,4.24,4.42,4.60,4.79,5.04,5.22,5.44,5.69,5.93,6.19,6.49,6.90,7.22,7.55,7.87,8.2,8.63,9.08,9.54,10.01,10.32,11,11.73,12.63,13.74,14.49
경기,경기 부천시,총인구,687751,723481,756219,779745,793437,788136,778789,775573,775815,781091,816499,844256,855697,855359,860020,864037,867678,869944,875204,872452,869944,863720,855586,848987,851380,850329,843768,829996,818383,806067
경기,경기 부천시,노인인구비율,3.37,3.51,3.63,3.72,3.85,4.05,4.25,4.45,4.69,4.90,5.03,5.24,5.50,5.75,6.06,6.46,6.72,7,7.29,7.64,8.15,8.65,9.17,9.71,10.13,10.88,11.58,12.54,13.68,14.72
경기,경기 광명시,총인구,337842,341191,344094,343899,346108,342630,343933,340021,338139,336309,340807,336083,331419,327828,313372,313019,310501,314257,343982,355226,355560,353100,348560,344978,339484,332790,326841,316552,298599,292893
경기,경기 광명시,노인인구비율,4.05,4.14,4.25,4.36,4.46,4.61,4.75,4.96,5.21,5.42,5.62,5.96,6.33,6.66,7.06,7.52,7.87,8.12,8.15,8.34,8.8,9.23,9.75,10.29,10.77,11.52,12.2,13.08,13.96,14.7
경기,경기 평택시,총인구,87630,90565,96905,321636,335901,346008,346694,352181,356103,358263,358531,364979,370653,383976,396765,402458,406721,410042,419457,426886,434305,442034,449555,460532,470832,481530,495642,513027,537307,564288
경기,경기 평택시,노인인구비율,4.56,4.63,4.54,5.82,5.87,6.03,6.31,6.58,6.94,7.31,7.68,7.96,8.32,8.49,8.70,9.18,9.48,9.76,10.1,10.28,10.58,10.79,11.03,11.19,11.28,11.61,11.8,12.07,12.37,12.43
경기,경기 송탄시,총인구,91495,97653,103656,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기,경기 송탄시,노인인구비율,4.35,4.49,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기,경기 동두천시,총인구,69388,71284,71634,72431,72860,73644,73625,74665,75529,74266,73177,74735,79214,82623,85803,88780,90835,93211,95653,96253,97175,97557,97595,97974,98277,97071,96226,94768,94353,93592
경기,경기 동두천시,노인인구비율,5.29,5.56,5.87,6.14,6.42,6.82,7.13,7.40,7.80,8.42,9.02,9.47,9.81,10.21,10.84,11.66,12.08,12.45,12.98,13.5,14.19,14.84,15.36,15.95,16.46,17.47,18.39,19.36,20.56,21.29
경기,경기 안산시,총인구,354433,399822,457910,504615,527650,544144,546117,547759,566912,590598,628861,651625,666784,679011,698819,705040,708257,705346,714891,715586,715108,713666,707876,697885,689859,677710,660343,650918,654915,652726
경기,경기 안산시,노인인구비율,2.85,2.84,3.04,3.10,3.16,3.30,3.46,3.64,3.92,4.12,4.33,4.58,4.79,5.01,5.28,5.61,5.89,6.15,6.37,6.61,6.93,7.24,7.6,7.97,8.28,8.87,9.49,10.21,10.94,11.7
경기,경기 고양시,총인구,257654,306622,418919,563398,657226,718465,750418,772390,797597,811467,836664,865077,886000,904077,910206,924839,938831,938784,950115,961239,969916,990571,1006154,1027546,1039684,1041983,1044189,1066351,1079216,1079353
경기,경기 고양시,노인인구비율,5.42,5.39,5.17,4.94,4.95,5.04,5.20,5.44,5.72,6.03,6.35,6.66,6.98,7.29,7.69,8.13,8.47,8.74,9,9.28,9.68,10,10.35,10.71,10.97,11.55,12.12,12.69,13.5,14.28
경기,경기 과천시,총인구,72243,70963,69906,70105,70890,71128,71322,71329,71432,71201,70488,70324,68333,60956,60482,62291,69477,72049,72279,71955,71068,70578,70156,68946,63778,57527,58142,58289,63231,73345
경기,경기 과천시,노인인구비율,5.58,5.74,5.85,5.88,5.74,5.81,6.02,6.18,6.46,6.72,6.94,7.15,7.53,8.04,8.29,8.65,8.69,8.88,9.29,9.68,10.21,10.64,11.01,11.5,12.13,12.99,13.35,13.87,14.22,14.12
경기,경기 구리시,총인구,124770,126996,136794,143177,155429,164150,163758,166232,169417,184816,193214,192947,193438,192548,193847,196800,195874,195593,196398,194881,192341,189680,186820,186721,193763,200042,203553,199265,197454,191948
경기,경기 구리시,노인인구비율,4.00,4.05,4.21,4.33,4.39,4.56,4.66,4.73,4.94,4.99,5.29,5.54,5.96,6.21,6.54,6.94,7.31,7.65,8.01,8.4,8.92,9.44,9.92,10.37,10.64,11.18,11.69,12.63,13.65,14.49
경기,경기 미금시,총인구,74721,75046,74135,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기,경기 미금시,노인인구비율,4.63,4.81,4.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
경기,경기 남양주시,총인구,139229,145639,152839,237398,254106,278939,306553,334551,358396,375041,392614,403755,418360,450054,470617,492347,505867,525211,564141,578485,599539,618305,636256,653454,662154,665321,681828,701830,713321,733798
경기,경기 남양주시,노인인구비율,5.80,5.92,5.99,5.68,5.71,5.68,5.64,5.74,5.94,6.32,6.65,7.04,7.40,7.59,7.93,8.39,8.72,8.98,9.18,9.54,9.91,10.27,10.67,11.08,11.48,12.28,12.71,13.25,14.09,14.76
경기,경기 오산시,총인구,60967,62615,63348,69562,72518,75344,76638,84843,105933,114540,115956,118167,121326,129843,136311,145825,150237,159734,182516,193892,200291,205460,208565,206828,208656,213437,220070,226379,229725,229983
